,Age,Overall,Potential,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
3565,33,72,72,1761,75,51,82,66,70,71,60,49,69,74,43,12,16,15,8,8,62,34,85,51,63,26,67,73,65,62,80,31,74,58,20,74,61,77,67,45,48,69,59,67,49,45,59,48,69,67,71,69,51,ST ,67,49,45,59,48,69,67,71,69,51,71
3566,31,72,72,1725,55,52,71,60,72,67,58,54,71,73,60,12,8,8,12,10,75,23,80,55,66,29,61,79,71,70,70,23,51,52,29,77,69,69,69,46,49,70,63,69,46,46,63,49,70,66,71,68,48,ST ,69,46,46,63,49,70,66,71,68,48,71
3567,28,72,73,1755,69,77,65,56,55,60,40,40,55,47,42,15,10,9,14,14,72,80,73,53,47,68,60,43,73,61,65,64,75,79,71,79,44,40,55,71,67,56,58,55,67,71,58,67,56,56,59,55,66,CB ,55,67,71,58,67,56,56,59,55,66,59
3568,24,72,77,1831,77,60,79,67,76,74,56,77,79,71,54,15,13,15,13,9,65,23,70,63,71,31,61,69,67,68,72,30,73,64,38,66,65,74,71,47,52,72,65,71,51,47,65,52,72,70,71,71,53,CAM ST ,71,51,47,65,52,72,70,71,71,53,71
3569,32,72,72,1428,40,61,30,62,40,65,21,28,42,23,27,13,12,9,13,9,78,74,36,43,31,75,36,54,70,48,40,75,50,66,79,86,33,24,42,71,62,44,49,42,62,71,49,62,44,43,48,41,58,CB ,42,62,71,49,62,44,43,48,41,58,48
3570,38,72,72,1199,39,26,62,60,25,59,9,11,11,12,20,67,73,70,75,71,16,21,73,33,18,17,23,11,65,38,39,12,39,23,14,62,50,14,,,,,,,,,,,,,,,,GK ,,,,,,,,,,,
3571,28,72,72,1933,67,61,64,68,74,70,67,70,71,67,78,12,13,12,11,12,58,61,64,70,66,55,65,63,67,74,72,52,67,76,56,82,76,62,71,62,66,69,70,71,63,62,70,66,69,70,68,69,65,CM CAM ,71,63,62,70,66,69,70,68,69,65,68
3572,26,72,74,1924,68,56,66,63,72,69,70,65,74,66,67,6,9,9,8,6,60,67,70,70,68,61,65,64,64,76,67,57,74,89,64,67,68,68,70,64,68,69,71,70,68,64,71,68,69,71,67,70,70,CDM LM CM ,70,68,64,71,68,69,71,67,70,70,67
3573,32,72,72,1427,54,67,55,54,58,71,18,12,45,14,25,8,12,15,12,13,70,77,79,47,29,73,18,21,70,55,40,70,53,55,73,81,28,26,44,71,64,43,49,44,62,71,49,64,43,44,44,42,58,CB ,44,62,71,49,64,43,44,44,42,58,44
3574,29,72,72,1223,55,34,63,44,21,62,11,18,11,19,19,76,67,66,69,75,13,23,74,33,13,18,18,16,63,23,23,13,57,35,12,70,56,15,,,,,,,,,,,,,,,,GK ,,,,,,,,,,,
3575,20,72,82,1871,77,58,82,85,81,77,70,74,77,48,56,7,13,10,10,9,60,68,66,68,52,52,45,57,73,77,59,55,75,67,57,57,76,50,72,61,67,69,71,72,66,61,71,67,69,72,63,71,68,CDM CM ,72,66,61,71,67,69,72,63,71,68,63
3576,31,72,72,1048,42,17,40,34,24,21,11,13,11,10,13,75,72,69,67,75,13,20,46,17,15,11,15,11,59,33,22,17,48,26,14,75,19,14,,,,,,,,,,,,,,,,GK ,,,,,,,,,,,
3577,24,72,78,1729,78,45,72,63,72,60,56,76,76,80,53,7,7,11,9,14,60,17,68,53,76,25,62,69,67,65,75,17,68,66,28,62,61,71,69,40,46,71,62,69,46,40,62,46,71,68,71,70,49,LM ST ,69,46,40,62,46,71,68,71,70,49,71
3578,23,72,80,1757,79,61,78,74,76,70,70,53,77,62,53,13,11,12,5,6,42,47,34,59,62,41,67,68,68,68,63,50,79,66,50,39,69,55,71,50,58,70,66,71,60,50,66,58,70,71,64,72,62,LW RW ,71,60,50,66,58,70,71,64,72,62,64
3579,22,72,78,1744,74,31,72,72,74,62,57,51,67,73,57,10,16,8,10,13,58,24,73,51,67,35,65,81,80,59,71,31,67,71,31,67,59,69,68,45,49,71,62,68,51,45,62,49,71,68,71,69,53,CAM ST ,68,51,45,62,49,71,68,71,69,53,71
3580,27,72,73,1952,70,84,73,68,73,67,70,80,72,53,76,11,11,9,12,13,52,70,59,70,73,60,55,65,67,72,76,61,53,83,65,76,72,48,69,66,70,67,71,69,67,66,71,70,67,69,64,68,68,CDM CM ,69,67,66,71,70,67,69,64,68,68,64
3581,29,72,72,1922,71,51,77,66,67,67,71,63,72,55,64,8,9,13,9,9,66,72,69,73,54,71,65,55,73,72,53,72,75,77,73,67,71,59,68,69,71,65,70,68,72,69,70,71,65,69,63,68,72,CM CDM ,68,72,69,70,71,65,69,63,68,72,63
3582,30,72,72,1553,51,74,58,58,60,64,35,30,53,42,37,13,9,10,11,9,68,75,82,40,35,73,31,41,63,59,39,67,54,46,77,75,47,31,52,71,64,51,54,52,62,71,54,64,51,50,51,50,60,CB ,52,62,71,54,64,51,50,51,50,60,51
3583,24,72,75,1560,36,70,54,58,62,70,36,36,42,38,34,7,13,11,7,15,78,72,78,65,45,75,36,30,59,58,48,67,36,70,69,82,40,33,48,71,66,46,55,48,61,71,55,66,46,47,49,45,59,CB ,48,61,71,55,66,46,47,49,45,59,49
3584,27,72,72,1924,73,69,74,74,70,70,67,65,71,45,58,15,14,11,12,9,58,73,76,64,59,70,61,68,70,70,60,70,67,80,72,67,69,43,67,69,70,66,69,67,71,69,69,70,66,68,62,67,71,RB ,67,71,69,69,70,66,68,62,67,71,62
3585,26,72,75,1603,58-10,70,50-8,52-2,59-3,65,33,24,52,36,24,13,9,12,14,14,81,69,84,60-2,37,70+2,39,37,62,64-2,58+9,73,55-9,74,72+1,79,42,27,52,71,66,51,57,52,64,71,57,66,51,52,54,49,62,CB ,52,64,71,57,66,51,52,54,49,62,54
3586,33,72,72,1834,75,81,54,55,61,70,51,61,62,51,62,7,15,7,8,10,73,71,77,71,41,77,63,44,72,72,44,73,70,67,72,81,67,39,62,74,71,60,65,62,69,74,65,71,60,63,59,60,68,RM RB CDM ,62,69,74,65,71,60,63,59,60,68,59
3587,29,72,72,1904,74,85,72,62,65,69,66,71,64,34,51,9,16,10,10,13,68,70,75,61,50,71,63,54,72,65,62,72,75,82,74,83,50,55,60,73,70,60,63,60,71,73,63,70,60,64,60,61,71,LB ,60,71,73,63,70,60,64,60,61,71,60
3588,27,72,73,1776,80,71,75,75,70,67,64,38,64,21,22,13,14,15,7,14,60,67,82,61,29,67,52,61,68,70,43,72,80,90,70,72,59,30,62,69,69,59,65,62,71,69,65,69,59,66,55,62,72,RB ,62,71,69,65,69,59,66,55,62,72,55
3589,24,72,78,1949,58,70,59,60,76,67,61,64,72,57,74,11,11,6,15,10,70,65,71,71,77,54,77,69,72,73,79,72,59,70,68,72,66,60,69,67,69,69,71,69,67,67,71,69,69,68,69,68,67,LB CDM CM ,69,67,67,71,69,69,68,69,68,67,69
3590,23,72,79,1476,55,76,48,53,52,67,35,30,42,21,29,7,11,12,13,8,66,72,62,54,31,76,35,27,68,52,46,74,55,55,76,74,29,32,43,71,64,43,49,43,63,71,49,64,43,45,45,43,60,CB ,43,63,71,49,64,43,45,45,43,60,45
3591,33,72,72,1138,38,24,45,31,25,27,19,16,16,12,12,71,70,62,70,72,20,17,59,21,12,18,25,14,73,38,19,15,40,32,14,72,54,12,,,,,,,,,,,,,,,,GK ,,,,,,,,,,,
3592,27,72,74,1121,32,25,47,48,13,29,15,12,11,12,16,69,67,79,75,78,12,10,70,18,11,15,24,12,61,26,23,14,42,31,12,71,56,14,,,,,,,,,,,,,,,,GK ,,,,,,,,,,,
3593,31,72,72,1154,50,39,65,47,21,49,16,16,13,12,14,68,71,72,74,75,11,23,50,35,14,14,16,13,59,34,18,16,42,35,11,68,31,11,,,,,,,,,,,,,,,,GK ,,,,,,,,,,,
3594,29,72,72,1818,69,70,71,64,73,68,70,64,68,29,35,13,12,10,8,14,56,71,72,70,53,72,40,63,68,72,58,73,70,75,75,76,68,16,66,71,72,63,69,66,71,71,69,72,63,67,58,65,72,LB ,66,71,71,69,72,63,67,58,65,72,58
3595,32,72,72,1168,46,45,38,45,22,67,11,11,11,12,14,73,70,69,71,77,12,24,66,34,11,13,22,11,59,39,25,11,47,31,12,62,52,22,,,,,,,,,,,,,,,,GK ,,,,,,,,,,,
3596,35,72,72,971,25,18,20,16,13,26,13,15,11,12,16,70,72,82,70,75,11,10,26,23,12,14,50,10,62,16,20,12,21,14,13,69,50,10,,,,,,,,,,,,,,,,GK ,,,,,,,,,,,
3597,33,72,72,1606,53,70,56,49,61,72,42,42,58,32,21,8,9,7,8,6,73,72,75,62,34,74,31,50,68,65,61,70,53,62,70,82,45,37,54,71,67,54,59,54,64,71,59,67,54,55,55,53,63,CB ,54,64,71,59,67,54,55,55,53,63,55
3598,26,72,75,1688,78,73,75,71,63,69,70,30,64,44,30,7,7,7,6,9,59,68,70,67,23,68,37,55,67,64,56,70,82,85,71,60,29,23,56,67,67,57,59,56,71,67,59,67,57,64,57,60,71,LB ,56,71,67,59,67,57,64,57,60,71,57
3599,28,72,72,1840,67,78,75,76,70,66,60,60,74,71,72,9,12,13,12,11,53,46,59,64,73,29,70,69,63,70,76,33,70,59,36,74,76,60,71,50,56,70,66,71,52,50,66,56,70,68,69,70,55,LM CAM ,71,52,50,66,56,70,68,69,70,55,69
3600,28,72,72,2002,66,72,77,89,74,71,76,80,68,69,77,14,11,10,7,10,43,65,74,69,69,57,75,75,77,75,77,56,54,79,59,58,69,71,71,61,68,71,72,71,65,61,72,68,71,71,68,71,68,RM CM CAM ,71,65,61,72,68,71,71,68,71,68,68
3601,29,72,72,1809,68,37,71,67,76,66,71,72,73,67,67,11,15,12,9,7,51,46,59,68,56,50,64,71,65,73,55,42,72,64,54,59,75,62,71,53,60,70,69,71,59,53,69,60,70,71,66,71,61,RM LM CAM ,71,59,53,69,60,70,71,66,71,61,66
3602,27,72,73,1968,82,63,91,86,71,64,76,60,70,65,62,14,8,14,14,15,69,61,72,68,60,58,62,64,68,72,69,67,79,84,69,35,67,53,70,63,66,69,69,70,70,63,69,66,69,72,67,71,71,RWB CM RM LWB ,70,70,63,69,66,69,72,67,71,71,67
3603,26,72,72,1771,76,59,70,70,72,68,67,65,70,70,69,8,9,15,13,14,62,22,68,61,69,17,69,74,75,64,77,18,80,75,21,62,58,52,69,41,48,71,63,69,48,41,63,48,71,70,71,70,52,RM LM ST ,69,48,41,63,48,71,70,71,70,52,71
3604,26,72,74,1664,68,73,65,69,62,65,44,41,45,32,35,6,13,10,6,14,65,69,79,65,27,73,33,41,64,64,54,72,71,73,74,79,44,34,53,71,68,52,58,53,67,71,58,68,52,55,52,52,65,CB ,53,67,71,58,68,52,55,52,52,65,52
3605,33,72,72,1110,41,36,46,46,25,50,14,10,14,9,11,70,69,68,70,75,17,16,44,27,12,13,19,16,69,26,20,19,41,34,11,61,52,9,,,,,,,,,,,,,,,,GK ,,,,,,,,,,,
3606,30,72,72,1916,70,69,82,82,75,62,71,82,78,61,70,11,13,15,16,6,71,38,81,69,73,18,61,64,68,71,83,20,72,74,44,65,72,71,71,49,56,71,68,71,53,49,68,56,71,71,70,71,56,LM RM CAM ,71,53,49,68,56,71,71,70,71,56,70
3607,25,72,74,1903,82,74,76,82,68,75,66,64,66,24,59,13,6,6,14,12,54,72,78,64,50,69,48,54,70,72,63,72,77,92,72,66,65,53,64,69,71,61,67,64,73,69,67,71,61,67,57,63,73,LB CDM ,64,73,69,67,71,61,67,57,63,73,57
3608,30,72,72,1718,73,79,47,51,58,60,57,46,60,32,51,13,14,7,11,13,69,72,70,57,30,71,53,44,64,52,40,70,80,66,71,87,57,53,54,71,65,54,57,54,67,71,57,65,54,58,53,55,66,CB ,54,67,71,57,65,54,58,53,55,66,53
3609,28,72,72,1519,61,78,32,38,59,67,54,33,33,23,25,12,16,8,14,7,72,77,60,59,29,66,46,23,63,61,43,73,63,59,72,83,51,26,47,71,67,45,54,47,66,71,54,67,45,50,46,46,63,CB ,47,66,71,54,67,45,50,46,46,63,46
3610,29,72,72,1562,53,75,58,64,53,57,31,38,29,23,37,9,10,7,7,4,72,66,73,60,33,75,36,34,70,63,47,72,50,75,72,80,54,32,48,71,67,46,56,48,63,71,56,67,46,48,47,44,60,CB ,48,63,71,56,67,46,48,47,44,60,47
3611,33,72,72,1926,76,89,71,84,65,72,60,58,61,47,60,16,6,8,10,15,57,67,73,65,51,68,67,56,70,71,65,72,74,85,71,78,64,46,64,71,71,62,66,64,70,71,66,71,62,65,61,63,70,CM CDM ,64,70,71,66,71,62,65,61,63,70,61
3612,24,72,81,1535,46,58,38,35,61,61,33,29,42,33,34,12,15,12,14,16,75,82,33,59,43,71,39,43,66,56,59,62,50,79,76,91,51,22,51,71,68,50,58,51,64,71,58,68,50,50,53,47,62,CB ,51,64,71,58,68,50,50,53,47,62,53
3613,23,72,76,1867,78,57,81,77,74,70,71,66,76,66,67,6,12,14,14,14,55,40,77,66,71,38,55,66,68,70,68,40,76,67,39,59,70,69,71,50,56,71,67,71,56,50,67,56,71,71,68,72,59,CAM LM RM ,71,56,50,67,56,71,71,68,72,59,68
3614,26,72,73,1864,74,65,73,72,69,67,75,64,68,48,47,6,9,14,15,13,56,71,71,65,51,69,53,63,70,68,66,70,75,77,69,61,57,40,65,67,68,64,66,65,71,67,66,68,64,68,62,66,71,LB ,65,71,67,66,68,64,68,62,66,71,62
3615,33,72,72,1952,66,80,73,75,75,71,56,71,72,66,74,10,9,8,8,12,62,63,72,65,68,50,77,62,75,75,77,48,76,80,53,66,72,56,71,62,66,71,70,71,63,62,70,66,71,70,69,70,65,CM CAM ,71,63,62,70,66,71,70,69,70,65,69
3616,36,72,72,1901,49,69,65,75,75,83,74,71,70,58,70,15,10,16,16,16,53,69,51,75,65,64,71,59,72,74,67,67,33,55,68,74,75,60,68,66,70,65,71,68,64,66,71,70,65,66,62,66,66,CDM CM ,68,64,66,71,70,65,66,62,66,66,62
3617,35,72,72,1896,51,72,50,58,73,69,60,63,61,72,74,14,16,14,10,6,83,44,91,70,70,47,72,70,71,71,78,50,43,65,50,82,70,75,67,61,62,68,67,67,57,61,67,62,68,65,71,65,57,ST ,67,57,61,67,62,68,65,71,65,57,71
3618,30,72,72,1889,69,42,72,85,71,66,67,72,71,65,69,15,6,12,15,14,52,39,80,69,71,52,64,68,64,75,73,53,67,58,62,52,76,69,71,55,60,70,68,71,59,55,68,60,70,69,66,70,61,CM CAM ,71,59,55,68,60,70,69,66,70,61,66
3619,28,72,72,1813,69,86,62,76,62,59,68,52,52,46,47,12,11,10,8,6,56,75,75,57,48,73,59,51,68,65,55,78,69,83,70,72,45,47,57,71,69,57,60,57,71,71,60,69,57,61,57,58,71,RWB LB CB RB ,57,71,71,60,69,57,61,57,58,71,57
3620,24,72,76,1732,63,69,57,53,70,65,62,53,67,74,67,8,16,6,10,12,72,18,68-1,57,67,19,75,68,72,62,76,20,68-1,70-1,28,83-1,60,62,66,45,48,68,61,66,47,45,61,48,68,66,71,67,49,ST ,66,47,45,61,48,68,66,71,67,49,71
3621,26,72,73,1528,32,71,30,40,56,45,19,42,46,37,39,16,15,14,11,15,67,75,62,53,36,72,43,33,64,61,63,68,54,58,72,87,52,25,49,71,66,49,55,49,60,71,55,66,49,47,51,44,57,CB ,49,60,71,55,66,49,47,51,44,57,51
3622,23,72,77,1839,76,65,67,58,75,65,74,65,75,70,58,13,15,12,13,14,68,29,66,57,74,20,63,69,66,68,80,25,79,71,40,76,64,74,70,48,52,72,65,70,53,48,65,52,72,71,72,72,56,LW ST LM ,70,53,48,65,52,72,71,72,72,56,72
3623,28,72,72,1820,79,63,82,73,72,61,58,59,74,72,55,7,11,16,10,12,63,37,61,59,64,35,70,76,67,67,70,29,76,71,33,62,66,71,70,48,53,71,65,70,53,48,65,53,71,70,71,71,55,CAM LM ST ,70,53,48,65,53,71,70,71,71,55,71
3624,24,72,76,1756,84,59,83,90,73,68,70,70,75,66,68,15,12,12,13,12,23,23,64,62,72,22,54,65,67,72,58,24,77,65,32,42,72,60,72,38,50,70,65,72,49,38,65,50,70,71,63,72,54,LM ,72,49,38,65,50,70,71,63,72,54,63
3625,29,72,72,1953,86,74,90,70,70,68,61-4,83,72,65,69,7,16,14,9,15,54,48-11,90,65,62,46,53,74,70,65,66,50,93,78,48,72,63-4,55,70,58,60,70,66,70,61,58,66,60,70,71,69,71,63,LW LM ,70,61,58,66,60,70,71,69,71,63,69
3626,33,72,72,1824,66,71,61,64,64,72,56,44,62,52,60,12,9,9,7,16,58,75,73,72,50,65,58,62,71,74,58,68,62,79,72,75,57,42,63,69,71,62,67,63,68,69,67,71,62,64,61,62,68,CDM ,63,68,69,67,71,62,64,61,62,68,61
3627,28,72,72,1693,66,68,67,74,72,66,73,45,68,22,31,13,12,7,11,10,63,69,66,64,29,73,28,55,68,69,36,73,65,75,74,66,53,28,60,70,69,57,64,60,71,70,64,69,57,64,52,61,71,RB LB ,60,71,70,64,69,57,64,52,61,71,52
3628,27,72,72,1873,75,67,72,58,75,65,74,39,76,64,33,10,10,14,13,14,57,64,73,60,62,65,47,74,65,67,68,70,75,90,69,86,59,28,69,68,69,70,68,69,71,68,68,69,70,72,68,71,72,RM RB ,69,71,68,68,69,70,72,68,71,72,68
3629,29,72,72,1538,33,58,45,30,67,70,34,59,63,77,46,12,7,9,11,15,76,22,33,38,70,20,71,76,66,62,85,21,41,52,19,92,57,71,62,43,44,66,56,62,38,43,56,44,66,57,71,60,40,ST ,62,38,43,56,44,66,57,71,60,40,71
3630,21,72,83,1566,59,45,69,58,74,70,24,26,51,39,27,10,9,13,6,9,75,67,72,65,30,74,40,28,68,71,38,73,54,77,76,76,32,31,54,71,69,51,59,54,66,71,59,69,51,54,52,51,64,CB ,54,66,71,59,69,51,54,52,51,64,52
3631,32,72,72,1450,60,68,40,52,53,54,49,36,43,18,30,15,8,13,15,9,71,74,76,37,17,72,35,28,65,51,16,70,53,68,74,81,32,21,42,71,62,41,47,42,64,71,47,62,41,47,42,43,62,CB ,42,64,71,47,62,41,47,42,43,62,42
3632,25,72,75,1916,80,73,85,90,72,63,69,73,70,62,75,12,11,15,10,10,50,55,31,71,69,40,70,64,81,75,72,47,75,79,51,58,74,47,72,55,64,71,71,72,63,55,71,64,71,72,67,72,65,CDM CM ,72,63,55,71,64,71,72,67,72,65,67
3633,30,72,72,1937,40,72,56,68,73,75,71,83,62,61,81,13,10,16,16,7,49,72,49,80,73,59,83,59,67,77,80,62,43,70,69,74,73,69,67,65,71,65,72,67,64,65,72,71,65,65,63,64,66,CM CDM ,67,64,65,72,71,65,65,63,64,66,63
3634,19,72,83,1787,81,69,66,59,68,67,70,55,70,30,33,10,7,14,11,15,67,71,77,65,43,69,45,54,63,65,38,71,81,80,70,76,59,35,62,70,69,60,64,62,71,70,64,69,60,66,56,63,71,CB RB ,62,71,70,64,69,60,66,56,63,71,56
3635,29,72,72,1911,70,59,72,72,75,73,72,74,71,60,75,8,14,13,10,9,50,59,67,75,70,39,68,65,71,77,64,47,74,68,60,66,73,64,72,58,65,70,71,72,62,58,71,65,70,71,66,71,65,CM ,72,62,58,71,65,70,71,66,71,65,66
3636,25,72,74,1856,68,59,78,71,75,74,68,67,77,59,67,10,7,12,13,16,47,57,33,74,66,52,66,71,64,78,67,54,64,73,55,58,71,59,72,56,65,70,71,72,62,56,71,65,70,71,65,71,65,CDM CM ,72,62,56,71,65,70,71,65,71,65,65
3637,31,72,72,1904,73,72,73,77,72,64,63,68,73,69,66,7,11,16,9,8,70,59,56,64,76,37,64,72,72,69,75,48,76,70,54,65,73,47,72,59,62,72,69,72,61,59,69,62,72,71,71,71,63,CAM CM RM LM ,72,61,59,69,62,72,71,71,71,63,71
3638,36,72,72,1856,63,65,65,70,74,81,72,66,72,71,67,13,8,8,15,15,51,59,51,68,66,37,73,80,67,72,64,45,62,72,43,58,76,68,72,53,61,71,70,72,58,53,70,61,71,71,68,71,62,LM RM ,72,58,53,70,61,71,71,68,71,62,68
3639,31,72,72,1684,55,70,55,58,73,60,49,56,62,71,58,8,6,15,16,7,79,27,64,37,61,18,76,81,63,56,74,19,61,71,20,90,53,75,62,45,45,66,56,62,44,45,56,45,66,62,71,63,46,ST ,62,44,45,56,45,66,62,71,63,46,71
3640,26,72,75,1595,44,80,34,32,57,57,50,42,53,26,32,12,14,8,6,12,68,71,52,57,59,68,51,41,66,61,68,69,52,64,76,90,37,43,50,71,66,50,56,50,64,71,56,66,50,51,53,49,62,CB ,50,64,71,56,66,50,51,53,49,62,53
3641,25,72,76,1579,67,72,60,62,59,63,35,30,39,31,40,9,14,11,15,10,71,78,70,67,23,72,33,37,66,58,35,73,68,63,72,72,42,25,50,71,67,48,55,50,66,71,55,67,48,51,49,48,63,CB ,50,66,71,55,67,48,51,49,48,63,49
3642,22,72,79,1505,38,68,46,41,45,62,34,32,41,32,30,16,10,15,13,11,70,74,69,54,35,69,42,28,71,62,48,68,45,70,74,90,30,34,44,71,65,43,52,44,62,71,52,65,43,45,47,42,60,CB ,44,62,71,52,65,43,45,47,42,60,47
3643,27,72,73,1573,50,75,47,52,55,70,28,29,55,23,29,6,12,15,5,14,68,75,73,68,28,71,41,31,63,67,71,71,55,69,73,81,45,28,50,71,68,49,58,50,63,71,58,68,49,51,50,47,62,CDM CB ,50,63,71,58,68,49,51,50,47,62,50
3644,27,72,73,1838,73,70,68,49,68,70,71,40,68,52,39,10,11,8,13,15,68,72,57,58,60,63,47,64,68,61,69,69,77,86,71,81,61,51,64,69,68,65,65,64,71,69,65,68,65,67,65,66,71,LB ,64,71,69,65,68,65,67,65,66,71,65
3645,24,72,77,1658,67,66,51,59,62,65,61,28,47,32,31,7,15,8,15,14,75,72,74,52,30,72,48,51,64,66,44,72,71,73,73,72,47,39,54,71,66,53,58,54,69,71,58,66,53,57,54,54,68,RB CB ,54,69,71,58,66,53,57,54,54,68,54
3646,29,72,72,1727,82,33,71,71,75,66,55,63,73,66,64,7,13,9,16,10,75,44,72,61,56,12,65,72,77,65,61,13,82,62,12,73,55,62,68,42,48,70,62,68,48,42,62,48,70,69,71,70,51,CAM CF ST ,68,48,42,62,48,70,69,71,70,51,71
3647,26,72,73,1783,77,74,76,71,74,69,64,55,79,65,69,15,6,14,8,15,58,28,60,71,63,22,75,53,71,65,63,17,89,73,18,58,69,68,70,42,51,69,65,70,49,42,65,51,69,71,66,71,53,LM CF RM ,70,49,42,65,51,69,71,66,71,53,66
3648,29,72,72,1871,68,77,62,67,61,71,70,69,53,38,76,13,6,10,7,7,70,74,76,59,80,75,45,42,71,65,83,76,68,67,78,79,36,43,56,74,69,57,59,56,71,74,59,69,57,58,60,58,70,LB ,56,71,74,59,69,57,58,60,58,70,60
3649,27,72,73,1937,77,81,75,71,73,67,61,64,68,53,53,9,13,13,16,12,55,70,73,70,64,63,45,62,71,74,70,68,69,87,67,68,73,49,70,68,71,68,71,70,70,68,71,71,68,70,64,68,71,CDM CM ,70,70,68,71,71,68,70,64,68,71,64
3650,25,72,76,1725,70,80,73,64,71,73,56,58,73,74,43,7,8,13,10,14,65,28,80,40,64,11,64,70,69,63,73,19,72,64,24,72,58,75,67,44,47,69,59,67,46,44,59,47,69,66,71,68,49,ST ,67,46,44,59,47,69,66,71,68,49,71
3651,26,72,73,1806,80,36,84,74,73,68,60,74,74,62,73,7,10,10,15,8,37,57,57,67,74,33,63,73,62,69,76,35,80,74,25,72,69,43,71,46,56,70,67,71,54,46,67,56,70,70,67,71,58,CM CAM ,71,54,46,67,56,70,70,67,71,58,67
3652,21,72,84,1709,83,64,64,62,67,62,61,48,63,38,22,8,12,10,7,7,67,69,83,57,31,69,26,55,68,70,47,69,89,72,72,67,49,33,60,70,67,60,62,60,71,70,62,67,60,64,58,62,70,RB ,60,71,70,62,67,60,64,58,62,70,58
3653,29,72,72,1789,78,46,83,91,77,71,74,74,76,62,75,10,13,8,10,9,46,42,54,63,41,48,72,62,63,76,39,32,75,64,51,38,75,62,71,49,58,68,67,71,57,49,67,58,68,72,61,71,61,CM CAM ,71,57,49,67,58,68,72,61,71,61,61
3654,31,72,72,1589,42,77,51,44,52,76,42,43,48,23,52,6,10,10,8,16,71,72,57,58,31,72,46,29,70,60,59,72,53,58,75,82,51,49,49,71,66,47,55,49,63,71,55,66,47,49,48,46,61,CB ,49,63,71,55,66,47,49,48,46,61,48
3655,20,72,81,1705,75,49,76,84,74,64,70,71,78,70,61,8,13,16,9,10,44,32,66,63,63,20,59,69,65,72,58,17,67,62,20,45,70,49,71,38,49,70,65,71,47,38,65,49,70,71,65,72,52,RW LM RM ,71,47,38,65,49,70,71,65,72,52,65
3656,26,72,74,1835,71,49,75,77,70,65,72,76,74,68,75,14,9,15,14,15,41,45,44,73,59,48,73,72,74,70,63,47,68,62,45,49,72,56,71,50,59,70,68,71,58,50,68,59,70,71,65,71,61,CM LM LW CAM ,71,58,50,68,59,70,71,65,71,61,65
3657,29,72,72,1089,35,41,33,41,20,62,9,9,8,9,12,71,63,77,74,75,9,20,66,14,12,8,17,21,67,19,21,7,31,34,8,79,71,8,,,,,,,,,,,,,,,,GK ,,,,,,,,,,,
3658,31,72,72,1609,53,84,51,43,60,52,33,34,50,28,36,9,7,9,15,8,72,69,80,58,69,69,44,30,57,52,77,69,61,66,73,84,38,21,49,71,64,50,54,49,62,71,54,64,50,49,52,47,59,CB ,49,62,71,54,64,50,49,52,47,59,52
3659,25,72,76,1769,75,75,72,58,75,66,67,49,73,68,39,12,12,16,16,9,66,23,56,47,66,25,63,70,73,59,75,40,81,75,27,73,58,76,67,47,50,70,60,67,53,47,60,50,70,69,71,70,55,ST ,67,53,47,60,50,70,69,71,70,55,71
3660,24,72,78,1842,69,65,62,57,70,69,64,45,69,58,42,7,14,13,11,5,50,69,66,69,64,67,52,59,72,74,67,67,65,76,70,80,69,55,68,68,71,66,70,68,68,68,70,71,66,68,64,67,69,CM CDM ,68,68,68,70,71,66,68,64,67,69,64
3661,29,72,72,1197,47,39,33,46,18,62,18,18,14,16,23,71,72,71,70,72,19,22,66,23,20,18,22,13,70,26,25,24,52,37,23,66,27,16,,,,,,,,,,,,,,,,GK ,,,,,,,,,,,
3662,20,72,86,1727,78,45,75,75,72,59,53,54,75,60,49,6,13,12,9,10,45,46,60,70,60,36,42,69,64,76,62,32,76,70,44,69,68,52,71,49,58,69,68,71,55,49,68,58,69,70,65,69,58,CM RM CAM ,71,55,49,68,58,69,70,65,69,58,65
3663,29,72,72,1965,71,70,81,81,70,75,72,54,69,59,68,9,10,16,15,8,47,69,76,71,66,68,51,69,72,71,75,51,67,84,61,70,72,72,70,64,69,68,71,70,67,64,71,69,68,70,66,69,69,CDM CM ,70,67,64,71,69,68,70,66,69,69,66
3664,23,72,79,1638,68,83,61,70,60,54,57,29,54,29,27,16,8,13,12,12,63,70,78,55,36,70,40,41,65,63,39,68,69,61,75,82,45,19,53,71,66,52,56,53,66,71,56,66,52,56,51,54,65,CB ,53,66,71,56,66,52,56,51,54,65,51
3665,33,72,72,1850,63,82,67,75,68,72,58,64,65,73,57,6,9,8,11,11,71,28,76,58,72,40,65,67,73,67,75,33,71,73,44,82,72,66,68,54,56,69,65,68,53,54,65,56,69,67,71,67,55,ST ,68,53,54,65,56,69,67,71,67,55,71
